Timestamp;Date;Time;Date_time;ms;LEVEL;TEMPERATURE;CON_UCTIVITY;relative level
43367,92;2018-09-24;22:00:00;2018-09-24 22:00;0;7,373;6,6;353;0,07
43367,96;2018-09-24;23:00:00;2018-09-24 23:00;0;7,388;6,6;353;0,085
43368,00;2018-09-25;00:00:00;2018-09-25 00:00;0;7,363;6,6;353;0,06
43368,04;2018-09-25;01:00:00;2018-09-25 01:00;0;7,391;6,6;353;0,088
43368,08;2018-09-25;02:00:00;2018-09-25 02:00;0;7,374;6,6;353;0,071
43368,13;2018-09-25;03:00:00;2018-09-25 03:00;0;7,368;6,6;353;0,065
43368,17;2018-09-25;04:00:00;2018-09-25 04:00;0;7,385;6,6;353;0,082
43368,21;2018-09-25;05:00:00;2018-09-25 05:00;0;7,368;6,6;353;0,065
43368,25;2018-09-25;06:00:00;2018-09-25 06:00;0;7,375;6,6;352;0,072
43368,29;2018-09-25;07:00:00;2018-09-25 07:00;0;7,375;6,6;353;0,072
43368,33;2018-09-25;08:00:00;2018-09-25 08:00;0;7,382;6,6;353;0,079
43368,38;2018-09-25;09:00:00;2018-09-25 09:00;0;7,379;6,6;353;0,076
43368,42;2018-09-25;10:00:00;2018-09-25 10:00;0;7,372;6,6;353;0,069
43368,46;2018-09-25;11:00:00;2018-09-25 11:00;0;7,383;6,6;353;0,08
43368,50;2018-09-25;12:00:00;2018-09-25 12:00;0;7,391;6,6;353;0,088
43368,54;2018-09-25;13:00:00;2018-09-25 13:00;0;7,372;6,6;353;0,069
43368,58;2018-09-25;14:00:00;2018-09-25 14:00;0;7,361;6,6;353;0,058
43368,63;2018-09-25;15:00:00;2018-09-25 15:00;0;7,356;6,6;353;0,053
43368,67;2018-09-25;16:00:00;2018-09-25 16:00;0;7,361;6,6;353;0,058
43368,71;2018-09-25;17:00:00;2018-09-25 17:00;0;7,363;6,6;353;0,06
43368,75;2018-09-25;18:00:00;2018-09-25 18:00;0;7,378;6,6;353;0,075
43368,79;2018-09-25;19:00:00;2018-09-25 19:00;0;7,384;6,6;353;0,081
43368,83;2018-09-25;20:00:00;2018-09-25 20:00;0;7,367;6,6;353;0,064
43368,88;2018-09-25;21:00:00;2018-09-25 21:00;0;7,393;6,6;353;0,09
43368,92;2018-09-25;22:00:00;2018-09-25 22:00;0;7,363;6,6;353;0,06
43368,96;2018-09-25;23:00:00;2018-09-25 23:00;0;7,364;6,6;353;0,061
43369,00;2018-09-26;00:00:00;2018-09-26 00:00;0;7,377;6,6;352;0,074
43369,04;2018-09-26;01:00:00;2018-09-26 01:00;0;7,39;6,6;353;0,087
43369,08;2018-09-26;02:00:00;2018-09-26 02:00;0;7,355;6,6;353;0,052
43369,13;2018-09-26;03:00:00;2018-09-26 03:00;0;7,37;6,6;353;0,067
